,trade_date,ts_code,pre_close,up_limit,down_limit
127,20191009,000536.SZ,2.69,2.96,2.42
128,20191009,000537.SZ,6.51,7.16,5.86
129,20191009,000538.SZ,76.79,84.47,69.11
130,20191009,000539.SZ,3.92,4.31,3.53
131,20191009,000540.SZ,3.35,3.69,3.02
132,20191009,000541.SZ,5.05,5.56,4.55
133,20191009,000543.SZ,4.48,4.93,4.03
134,20191009,000544.SZ,6.69,7.36,6.02
135,20191009,000545.SZ,3.14,3.45,2.83
136,20191009,000546.SZ,9.83,10.81,8.85
137,20191009,000547.SZ,10.53,11.58,9.48
138,20191009,000548.SZ,4.04,4.44,3.64
139,20191009,000550.SZ,15.97,17.57,14.37
140,20191009,000551.SZ,6.56,7.22,5.9
141,20191009,000552.SZ,2.47,2.72,2.22
142,20191009,000553.SZ,9.0,9.9,8.1
143,20191009,000554.SZ,4.99,5.49,4.49
144,20191009,000555.SZ,12.99,14.29,11.69
145,20191009,000557.SZ,3.35,3.69,3.02
146,20191009,000558.SZ,3.54,3.89,3.19
147,20191009,000559.SZ,5.19,5.71,4.67
148,20191009,000560.SZ,4.36,4.8,3.92
149,20191009,000561.SZ,6.68,7.35,6.01
150,20191009,000563.SZ,4.13,4.54,3.72
151,20191009,000564.SZ,2.32,2.55,2.09
152,20191009,000565.SZ,5.36,5.9,4.82
153,20191009,000566.SZ,6.38,7.02,5.74
154,20191009,000567.SZ,8.59,9.45,7.73
155,20191009,000568.SZ,88.25,97.08,79.43
156,20191009,000570.SZ,4.57,5.03,4.11
157,20191009,000571.SZ,2.22,2.33,2.11
158,20191009,000572.SZ,1.83,1.92,1.74
159,20191009,000573.SZ,2.85,3.14,2.57
160,20191009,000576.SZ,7.98,8.78,7.18
161,20191009,000581.SZ,16.53,18.18,14.88
162,20191009,000582.SZ,8.7,9.57,7.83
163,20191009,000584.SZ,6.55,7.21,5.9
164,20191009,000585.SZ,1.87,1.96,1.78
165,20191009,000586.SZ,11.83,13.01,10.65
166,20191009,000587.SZ,2.05,2.26,1.85
167,20191009,000589.SZ,4.42,4.86,3.98
168,20191009,000590.SZ,10.76,11.84,9.68
169,20191009,000591.SZ,3.13,3.44,2.82
170,20191009,000592.SZ,2.75,3.03,2.48
171,20191009,000593.SZ,6.26,6.89,5.63
172,20191009,000595.SZ,3.46,3.81,3.11
173,20191009,000596.SZ,115.38,126.92,103.84
174,20191009,000597.SZ,7.7,8.47,6.93
175,20191009,000598.SZ,4.91,5.4,4.42
176,20191009,000599.SZ,4.62,5.08,4.16
177,20191009,000600.SZ,5.31,5.84,4.78
178,20191009,000601.SZ,5.79,6.37,5.21
179,20191009,000603.SZ,13.69,15.06,12.32
180,20191009,000605.SZ,7.21,7.93,6.49
181,20191009,000606.SZ,5.68,6.25,5.11
182,20191009,000607.SZ,4.61,5.07,4.15
183,20191009,000608.SZ,5.24,5.76,4.72
184,20191009,000609.SZ,4.63,5.09,4.17
185,20191009,000610.SZ,9.5,10.45,8.55
186,20191009,000611.SZ,3.7,3.89,3.52
187,20191009,000612.SZ,4.36,4.8,3.92
188,20191009,000613.SZ,4.84,5.32,4.36
189,20191009,000615.SZ,5.28,5.81,4.75
190,20191009,000616.SZ,2.47,2.72,2.22
191,20191009,000617.SZ,12.38,13.62,11.14
192,20191009,000619.SZ,5.37,5.91,4.83
193,20191009,000620.SZ,4.69,5.16,4.22
194,20191009,000622.SZ,4.57,5.03,4.11
195,20191009,000623.SZ,15.52,17.07,13.97
196,20191009,000625.SZ,7.52,8.27,6.77
197,20191009,000626.SZ,7.26,7.99,6.53
198,20191009,000627.SZ,7.05,7.76,6.35
199,20191009,000628.SZ,9.78,10.76,8.8
200,20191009,000629.SZ,2.99,3.29,2.69
201,20191009,000630.SZ,2.18,2.4,1.96
202,20191009,000631.SZ,2.78,3.06,2.5
203,20191009,000632.SZ,6.23,6.85,5.61
204,20191009,000633.SZ,4.12,4.53,3.71
205,20191009,000635.SZ,7.72,8.49,6.95
206,20191009,000636.SZ,13.91,15.3,12.52
207,20191009,000637.SZ,4.46,4.91,4.01
208,20191009,000638.SZ,4.9,5.39,4.41
209,20191009,000639.SZ,4.96,5.46,4.46
210,20191009,000650.SZ,6.89,7.58,6.2
211,20191009,000651.SZ,58.15,63.97,52.34
212,20191009,000652.SZ,3.42,3.76,3.08
213,20191009,000655.SZ,5.15,5.67,4.64
214,20191009,000656.SZ,6.86,7.55,6.17
215,20191009,000657.SZ,7.11,7.82,6.4
216,20191009,000659.SZ,2.63,2.89,2.37
217,20191009,000661.SZ,393.85,433.24,354.47
218,20191009,000662.SZ,4.34,4.77,3.91
219,20191009,000663.SZ,5.55,6.11,5.0
220,20191009,000665.SZ,5.52,6.07,4.97
221,20191009,000666.SZ,12.21,13.43,10.99
222,20191009,000667.SZ,2.83,3.11,2.55
223,20191009,000668.SZ,15.56,17.12,14.0
224,20191009,000669.SZ,4.04,4.44,3.64
225,20191009,000670.SZ,2.26,2.37,2.15
226,20191009,000671.SZ,6.19,6.81,5.57
227,20191009,000672.SZ,14.77,16.25,13.29
228,20191009,000673.SZ,2.87,3.16,2.58
229,20191009,000676.SZ,5.9,6.49,5.31
230,20191009,000677.SZ,3.16,3.48,2.84
231,20191009,000678.SZ,6.9,7.59,6.21
232,20191009,000679.SZ,3.66,4.03,3.29
233,20191009,000680.SZ,3.53,3.88,3.18
234,20191009,000681.SZ,20.02,22.02,18.02
235,20191009,000682.SZ,4.9,5.39,4.41
236,20191009,000683.SZ,2.31,2.54,2.08
237,20191009,000685.SZ,7.93,8.72,7.14
238,20191009,000686.SZ,8.14,8.95,7.33
239,20191009,000687.SZ,7.08,7.79,6.37
240,20191009,000688.SZ,10.14,11.15,9.13
241,20191009,000690.SZ,6.13,6.74,5.52
242,20191009,000691.SZ,3.79,4.17,3.41
243,20191009,000692.SZ,2.89,3.18,2.6
244,20191009,000695.SZ,8.29,9.12,7.46
245,20191009,000697.SZ,12.57,13.83,11.31
246,20191009,000698.SZ,3.97,4.37,3.57
247,20191009,000700.SZ,4.11,4.52,3.7
248,20191009,000701.SZ,5.64,6.2,5.08
249,20191009,000702.SZ,6.27,6.9,5.64
250,20191009,000703.SZ,12.68,13.95,11.41
251,20191009,000705.SZ,6.29,6.92,5.66
252,20191009,000707.SZ,3.11,3.27,2.95
253,20191009,000708.SZ,16.55,18.21,14.9
254,20191009,000709.SZ,2.53,2.78,2.28
255,20191009,000710.SZ,31.4,34.54,28.26
256,20191009,000711.SZ,4.76,5.24,4.28
257,20191009,000712.SZ,12.25,13.48,11.03
258,20191009,000713.SZ,9.14,10.05,8.23
259,20191009,000715.SZ,7.39,8.13,6.65
260,20191009,000716.SZ,3.21,3.53,2.89
261,20191009,000717.SZ,3.73,4.1,3.36
262,20191009,000718.SZ,3.84,4.22,3.46
263,20191009,000719.SZ,6.9,7.59,6.21
264,20191009,000720.SZ,4.57,5.03,4.11
265,20191009,000721.SZ,3.98,4.38,3.58
266,20191009,000722.SZ,6.75,7.43,6.08
267,20191009,000723.SZ,9.27,10.2,8.34
268,20191009,000725.SZ,3.75,4.13,3.38
269,20191009,000726.SZ,9.26,10.19,8.33
270,20191009,000727.SZ,2.15,2.37,1.94
271,20191009,000728.SZ,8.51,9.36,7.66
272,20191009,000729.SZ,5.8,6.38,5.22
273,20191009,000731.SZ,5.22,5.74,4.7
274,20191009,000732.SZ,6.02,6.62,5.42
275,20191009,000733.SZ,16.03,17.63,14.43
276,20191009,000735.SZ,9.11,10.02,8.2
277,20191009,000736.SZ,6.51,7.16,5.86
278,20191009,000737.SZ,3.03,3.18,2.88
279,20191009,000738.SZ,13.54,14.89,12.19
280,20191009,000739.SZ,11.94,13.13,10.75
281,20191009,000750.SZ,4.96,5.46,4.46
282,20191009,000751.SZ,3.02,3.32,2.72
283,20191009,000752.SZ,3.98,4.18,3.78
284,20191009,000753.SZ,2.88,3.17,2.59
285,20191009,000755.SZ,3.97,4.37,3.57
286,20191009,000756.SZ,6.78,7.46,6.1
287,20191009,000757.SZ,4.99,5.49,4.49
288,20191009,000758.SZ,,4.83,3.95
289,20191009,000759.SZ,7.44,8.18,6.7
290,20191009,000760.SZ,1.41,1.48,1.34
291,20191009,000761.SZ,3.77,4.15,3.39
292,20191009,000762.SZ,7.07,7.78,6.36
293,20191009,000766.SZ,7.2,7.92,6.48
294,20191009,000767.SZ,2.52,2.77,2.27
295,20191009,000768.SZ,15.32,16.85,13.79
296,20191009,000776.SZ,13.51,14.86,12.16
297,20191009,000777.SZ,12.46,13.71,11.21
298,20191009,000778.SZ,3.9,4.29,3.51
299,20191009,000779.SZ,11.48,12.63,10.33
300,20191009,000780.SZ,3.02,3.32,2.72
301,20191009,000782.SZ,3.58,3.94,3.22
302,20191009,000783.SZ,6.92,7.61,6.23
303,20191009,000785.SZ,11.19,12.31,10.07
304,20191009,000786.SZ,17.98,19.78,16.18
305,20191009,000788.SZ,6.32,6.95,5.69
306,20191009,000789.SZ,9.85,10.84,8.87
307,20191009,000790.SZ,4.24,4.66,3.82
308,20191009,000791.SZ,3.73,4.1,3.36
309,20191009,000792.SZ,8.04,8.44,7.64
310,20191009,000793.SZ,2.91,3.2,2.62
311,20191009,000795.SZ,6.42,7.06,5.78
312,20191009,000796.SZ,6.96,7.66,6.26
313,20191009,000797.SZ,3.35,3.69,3.02
314,20191009,000798.SZ,5.92,6.51,5.33
315,20191009,000799.SZ,41.72,45.89,37.55
316,20191009,000800.SZ,8.15,8.97,7.34
317,20191009,000801.SZ,5.9,6.49,5.31
318,20191009,000802.SZ,8.6,9.46,7.74
319,20191009,000803.SZ,14.86,16.35,13.37
320,20191009,000806.SZ,2.31,2.43,2.19
321,20191009,000807.SZ,4.55,5.01,4.1
322,20191009,000809.SZ,2.34,2.57,2.11
323,20191009,000810.SZ,8.63,9.49,7.77
324,20191009,000811.SZ,6.93,7.62,6.24
325,20191009,000812.SZ,3.29,3.62,2.96
326,20191009,000813.SZ,8.13,8.94,7.32
327,20191009,000815.SZ,7.6,8.36,6.84
328,20191009,000816.SZ,1.46,1.53,1.39
329,20191009,000818.SZ,9.34,10.27,8.41
330,20191009,000819.SZ,8.31,9.14,7.48
331,20191009,000820.SZ,1.57,1.65,1.49
332,20191009,000821.SZ,7.1,7.81,6.39
333,20191009,000822.SZ,4.53,4.98,4.08
334,20191009,000823.SZ,10.53,11.58,9.48
335,20191009,000825.SZ,3.85,4.24,3.47
336,20191009,000826.SZ,9.47,10.42,8.52
337,20191009,000828.SZ,8.16,8.98,7.34
338,20191009,000829.SZ,5.52,6.07,4.97
339,20191009,000830.SZ,9.93,10.92,8.94
340,20191009,000831.SZ,13.19,14.51,11.87
341,20191009,000833.SZ,5.5,6.05,4.95
342,20191009,000835.SZ,3.87,4.26,3.48
343,20191009,000836.SZ,3.75,4.13,3.38
344,20191009,000837.SZ,4.12,4.53,3.71
345,20191009,000838.SZ,3.09,3.4,2.78
346,20191009,000839.SZ,3.59,3.95,3.23
347,20191009,000848.SZ,7.52,8.27,6.77
348,20191009,000850.SZ,3.88,4.27,3.49
349,20191009,000851.SZ,5.1,5.61,4.59
350,20191009,000852.SZ,6.6,7.26,5.94
351,20191009,000856.SZ,10.35,11.39,9.32
352,20191009,000858.SZ,132.76,146.04,119.48
353,20191009,000859.SZ,4.45,4.9,4.01
354,20191009,000860.SZ,51.7,56.87,46.53
355,20191009,000861.SZ,2.88,3.17,2.59
356,20191009,000862.SZ,5.63,6.19,5.07
357,20191009,000863.SZ,5.2,5.72,4.68
358,20191009,000868.SZ,3.67,3.85,3.49
359,20191009,000869.SZ,30.34,33.37,27.31
360,20191009,000875.SZ,3.13,3.44,2.82
361,20191009,000876.SZ,18.0,19.8,16.2
362,20191009,000877.SZ,11.45,12.6,10.31
363,20191009,000878.SZ,9.97,10.97,8.97
364,20191009,000880.SZ,7.92,8.71,7.13
365,20191009,000881.SZ,7.08,7.79,6.37
366,20191009,000882.SZ,2.13,2.34,1.92
367,20191009,000883.SZ,4.15,4.57,3.74
368,20191009,000885.SZ,10.18,11.2,9.16
369,20191009,000886.SZ,3.53,3.88,3.18
370,20191009,000887.SZ,8.7,9.57,7.83
371,20191009,000888.SZ,5.87,6.46,5.28
372,20191009,000889.SZ,9.48,10.43,8.53
373,20191009,000890.SZ,6.36,7.0,5.72
374,20191009,000892.SZ,4.25,4.68,3.83
375,20191009,000893.SZ,8.14,8.95,7.33
376,20191009,000895.SZ,24.38,26.82,21.94
377,20191009,000897.SZ,2.24,2.35,2.13
378,20191009,000898.SZ,3.11,3.42,2.8
379,20191009,000899.SZ,4.81,5.29,4.33
380,20191009,000900.SZ,4.51,4.96,4.06
381,20191009,000901.SZ,11.21,12.33,10.09
382,20191009,000902.SZ,10.2,11.22,9.18
383,20191009,000903.SZ,2.48,2.73,2.23
384,20191009,000905.SZ,7.13,7.84,6.42
385,20191009,000906.SZ,5.93,6.52,5.34
386,20191009,000908.SZ,4.37,4.81,3.93
387,20191009,000909.SZ,7.9,8.69,7.11
388,20191009,000910.SZ,10.64,11.7,9.58
389,20191009,000911.SZ,5.8,6.09,5.51
390,20191009,000912.SZ,5.04,5.54,4.54
391,20191009,000913.SZ,9.32,10.25,8.39
392,20191009,000915.SZ,21.99,24.19,19.79
393,20191009,000917.SZ,5.91,6.5,5.32
394,20191009,000918.SZ,6.62,7.28,5.96
395,20191009,000919.SZ,7.39,8.13,6.65
396,20191009,000920.SZ,6.66,7.33,5.99
397,20191009,000921.SZ,11.35,12.49,10.22
398,20191009,000922.SZ,7.71,8.48,6.94
399,20191009,000923.SZ,15.02,16.52,13.52
400,20191009,000925.SZ,6.33,6.96,5.7
401,20191009,000926.SZ,6.35,6.99,5.72
402,20191009,000927.SZ,3.51,3.86,3.16
403,20191009,000928.SZ,5.19,5.71,4.67
404,20191009,000929.SZ,7.11,7.82,6.4
405,20191009,000930.SZ,6.8,7.48,6.12
406,20191009,000931.SZ,9.14,10.05,8.23
407,20191009,000932.SZ,4.14,4.55,3.73
408,20191009,000933.SZ,4.55,5.01,4.1
409,20191009,000935.SZ,13.84,15.22,12.46
410,20191009,000936.SZ,6.82,7.5,6.14
411,20191009,000937.SZ,3.5,3.85,3.15
412,20191009,000938.SZ,31.15,34.27,28.04
413,20191009,000948.SZ,10.33,11.36,9.3
414,20191009,000949.SZ,3.7,4.07,3.33
415,20191009,000950.SZ,6.26,6.89,5.63
416,20191009,000951.SZ,14.61,16.07,13.15
417,20191009,000952.SZ,9.11,10.02,8.2
418,20191009,000953.SZ,3.71,3.9,3.52
419,20191009,000955.SZ,3.89,4.28,3.5
420,20191009,000957.SZ,6.31,6.94,5.68
421,20191009,000958.SZ,6.0,6.6,5.4
422,20191009,000959.SZ,3.34,3.67,3.01
