ts_code,trade_date_x,high,close,pre_close_x,change,pct_chg,trade_date_y,pre_close_y,up_limit,down_limit
1676,300670.SZ,20191008,9.85,9.85,8.95,0.9,10.0559,20191008,8.95,9.85,8.06
1734,603283.SH,20191008,34.25,34.25,31.14,3.11,9.9872,20191008,31.14,34.25,28.03
1879,000700.SZ,20191008,4.11,4.11,3.74,0.37,9.893,20191008,3.74,4.11,3.37
1950,600240.SH,20191008,0.92,0.91,0.88,0.03,3.4091,20191008,0.88,0.92,0.84
2087,300306.SZ,20191008,14.26,14.17,12.96,1.21,9.3364,20191008,12.96,14.26,11.66
2171,601872.SH,20191008,5.25,5.1,4.77,0.33,6.9182,20191008,4.77,5.25,4.29
2239,002524.SZ,20191008,9.37,9.07,8.52,0.55,6.4554,20191008,8.52,9.37,7.67
2302,300368.SZ,20191008,10.07,10.07,9.15,0.92,10.0546,20191008,9.15,10.07,8.24
2312,300434.SZ,20191008,8.42,8.42,7.65,0.77,10.0654,20191008,7.65,8.42,6.89
2379,002893.SZ,20191008,14.95,14.95,13.59,1.36,10.0074,20191008,13.59,14.95,12.23
2420,600614.SH,20191008,1.21,1.21,1.15,0.06,5.2174,20191008,1.15,1.21,1.09
2426,600652.SH,20191008,2.14,2.04,2.04,0.0,0.0,20191008,2.04,2.14,1.94
2435,002552.SZ,20191008,21.32,21.32,19.38,1.94,10.0103,20191008,19.38,21.32,17.44
2448,002642.SZ,20191008,6.64,6.64,6.32,0.32,5.0633,20191008,6.32,6.64,6.0
2454,002684.SZ,20191008,3.0,2.85,2.86,-0.01,-0.3497,20191008,2.86,3.0,2.72
2458,002750.SZ,20191008,14.27,14.27,12.97,1.3,10.0231,20191008,12.97,14.27,11.67
2470,002881.SZ,20191008,33.34,33.34,30.31,3.03,9.9967,20191008,30.31,33.34,27.28
2530,600247.SH,20191008,3.95,3.89,3.76,0.13,3.4574,20191008,3.76,3.95,3.57
2549,600371.SH,20191008,12.66,12.66,11.51,1.15,9.9913,20191008,11.51,12.66,10.36
2555,600423.SH,20191008,3.59,3.59,3.42,0.17,4.9708,20191008,3.42,3.59,3.25
2675,002785.SZ,20191008,13.86,13.7,12.6,1.1,8.7302,20191008,12.6,13.86,11.34
2679,002800.SZ,20191008,26.68,26.68,24.25,2.43,10.0206,20191008,24.25,26.68,21.83
2767,300598.SZ,20191008,38.67,38.67,35.15,3.52,10.0142,20191008,35.15,38.67,31.64
2783,300729.SZ,20191008,33.17,33.17,30.15,3.02,10.0166,20191008,30.15,33.17,27.14
2791,300792.SZ,20191008,66.74,66.74,60.67,6.07,10.0049,20191008,60.67,66.74,54.6
2811,600767.SH,20191008,5.47,5.47,5.21,0.26,4.9904,20191008,5.21,5.47,4.95
2906,300657.SZ,20191008,39.08,38.98,35.53,3.45,9.7101,20191008,35.53,39.08,31.98
2985,002693.SZ,20191008,5.21,4.86,4.74,0.12,2.5316,20191008,4.74,5.21,4.27
3068,300173.SZ,20191008,4.8,4.8,4.36,0.44,10.0917,20191008,4.36,4.8,3.92
3071,300192.SZ,20191008,10.16,10.16,9.24,0.92,9.9567,20191008,9.24,10.16,8.32
3273,000672.SZ,20191008,14.77,14.77,13.43,1.34,9.9777,20191008,13.43,14.77,12.09
3298,002501.SZ,20191008,1.42,1.4,1.35,0.05,3.7037,20191008,1.35,1.42,1.28
3300,002504.SZ,20191008,3.84,3.84,3.49,0.35,10.0287,20191008,3.49,3.84,3.14
3342,002581.SZ,20191008,8.22,8.01,7.47,0.54,7.2289,20191008,7.47,8.22,6.72
3369,300198.SZ,20191008,4.31,4.28,3.92,0.36,9.1837,20191008,3.92,4.31,3.53
3441,603042.SH,20191008,19.45,19.45,17.68,1.77,10.0113,20191008,17.68,19.45,15.91
3495,002685.SZ,20191008,5.58,5.53,5.07,0.46,9.073,20191008,5.07,5.58,4.56
3531,300363.SZ,20191008,15.13,15.13,13.75,1.38,10.0364,20191008,13.75,15.13,12.38
3552,300525.SZ,20191008,34.65,33.1,31.5,1.6,5.0794,20191008,31.5,34.65,28.35
3555,300555.SZ,20191008,11.37,11.37,10.34,1.03,9.9613,20191008,10.34,11.37,9.31
3599,002464.SZ,20191008,9.77,9.47,8.88,0.59,6.6441,20191008,8.88,9.77,7.99
3605,002487.SZ,20191008,6.02,6.02,5.47,0.55,10.0548,20191008,5.47,6.02,4.92
